,State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn,New column
614,ND,88,415,No,No,0,161.5,92.0,27.46,173.5,108.0,14.75,206.2,95.0,9.28,7.9,4,2.13,2.0,False,36.74
615,VA,74,408,No,No,0,165.3,120.0,28.1,198.5,106.0,16.87,208.5,102.0,9.38,9.8,3,2.65,1.0,False,37.480000000000004
616,IL,83,415,No,No,0,195.0,92.0,33.15,210.5,83.0,17.89,180.6,92.0,8.13,11.0,13,2.97,0.0,False,41.28
617,OK,49,415,No,No,0,213.8,79.0,36.35,265.1,93.0,22.53,239.8,128.0,10.79,15.6,7,4.21,0.0,False,47.14
618,CO,111,510,No,Yes,24,205.5,114.0,34.94,219.3,99.0,18.64,215.9,95.0,9.72,14.0,4,3.78,1.0,False,44.66
619,MT,50,415,No,Yes,22,252.9,112.0,42.99,177.9,99.0,15.12,158.4,146.0,7.13,8.5,4,2.3,3.0,False,50.120000000000005
620,WV,153,408,No,Yes,28,235.6,74.0,40.05,227.9,37.0,19.37,170.3,103.0,7.66,15.4,9,4.16,0.0,False,47.709999999999994
621,ME,88,415,No,No,0,192.0,91.0,32.64,127.6,127.0,10.85,155.6,125.0,7.0,7.5,5,2.03,1.0,False,39.64
622,WI,131,415,No,Yes,39,69.1,122.0,11.75,101.3,136.0,8.61,104.8,94.0,4.72,9.1,4,2.46,0.0,False,16.47
623,MO,79,408,No,No,0,261.7,97.0,44.49,210.6,48.0,17.9,256.7,83.0,11.55,6.0,3,1.62,3.0,True,56.040000000000006
624,NY,140,415,No,No,0,235.5,81.0,40.04,257.2,130.0,21.86,103.1,111.0,4.64,11.5,4,3.11,2.0,False,44.68
625,CT,105,408,No,No,0,213.4,100.0,36.28,204.9,52.0,17.42,179.7,93.0,8.09,9.5,6,2.57,1.0,False,44.370000000000005
626,AR,54,415,No,Yes,39,206.9,143.0,35.17,127.8,72.0,10.86,199.2,120.0,8.96,9.2,1,2.48,3.0,False,44.13
627,WY,87,415,No,Yes,22,263.8,65.0,44.85,103.4,115.0,8.79,208.1,109.0,9.36,8.5,3,2.3,3.0,False,54.21
628,CA,96,510,No,Yes,31,183.4,126.0,31.18,195.5,106.0,16.62,180.1,93.0,8.1,10.5,5,2.84,1.0,False,39.28
629,CA,79,510,No,No,0,157.6,85.0,26.79,194.1,92.0,16.5,231.5,86.0,10.42,9.4,10,2.54,5.0,True,37.21
630,MN,55,415,No,No,0,175.6,147.0,29.85,161.8,118.0,13.75,289.5,55.0,13.03,9.3,4,2.51,0.0,False,42.88
631,AK,130,415,No,No,0,242.5,101.0,41.23,102.8,114.0,8.74,142.4,89.0,6.41,9.3,2,2.51,2.0,False,47.64
632,VA,34,415,No,No,0,151.0,102.0,25.67,131.4,101.0,11.17,186.6,86.0,8.4,9.9,7,2.67,0.0,False,34.07
633,CO,139,415,No,No,0,138.1,103.0,23.48,164.5,100.0,13.98,134.9,63.0,6.07,8.3,2,2.24,1.0,False,29.55
634,MT,109,408,No,No,0,264.7,69.0,45.0,305.0,120.0,25.93,197.4,86.0,8.88,9.5,9,2.57,1.0,True,53.88
635,SD,65,408,No,Yes,31,282.3,70.0,47.99,152.0,89.0,12.92,225.5,93.0,10.15,12.0,4,3.24,1.0,False,58.14
636,NE,63,415,No,No,0,211.2,80.0,35.9,237.7,93.0,20.2,259.2,58.0,11.66,12.3,2,3.32,0.0,False,47.56
637,VT,152,415,No,No,0,197.1,126.0,33.51,130.1,76.0,11.06,78.1,100.0,3.51,7.4,4,2.0,3.0,False,37.019999999999996
638,ND,147,408,No,No,0,205.3,95.0,34.9,166.7,128.0,14.17,240.6,84.0,10.83,7.8,4,2.11,1.0,False,45.73
639,GA,112,415,No,Yes,22,181.8,110.0,30.91,228.1,123.0,19.39,262.7,141.0,11.82,9.2,4,2.48,2.0,False,42.730000000000004
640,OR,120,415,No,No,0,252.0,120.0,42.84,150.2,106.0,12.77,151.8,96.0,6.83,9.6,1,2.59,2.0,False,49.67
641,MT,27,510,No,No,0,193.8,102.0,32.95,118.9,104.0,10.11,135.9,124.0,6.12,9.2,3,2.48,0.0,False,39.07
642,WY,171,415,No,No,0,231.2,135.0,39.3,188.7,74.0,16.04,206.9,124.0,9.31,12.3,1,3.32,1.0,False,48.61
643,GA,101,415,No,Yes,33,200.1,108.0,34.02,188.9,122.0,16.06,205.1,90.0,9.23,15.5,4,4.19,0.0,False,43.25
644,WV,32,408,No,Yes,26,266.7,109.0,45.34,232.3,107.0,19.75,212.8,98.0,9.58,16.3,4,4.4,1.0,False,54.92
645,CT,3,415,No,Yes,36,118.1,117.0,20.08,221.5,125.0,18.83,103.9,89.0,4.68,11.9,6,3.21,2.0,False,24.759999999999998
646,IL,151,408,No,No,0,175.3,106.0,29.8,144.3,87.0,12.27,160.2,88.0,7.21,11.8,5,3.19,0.0,False,37.01
647,CO,60,408,No,No,0,125.1,99.0,21.27,248.8,62.0,21.15,211.3,79.0,9.51,11.2,3,3.02,3.0,False,30.78
648,DE,119,415,No,No,0,176.8,90.0,30.06,224.7,81.0,19.1,204.6,77.0,9.21,7.5,15,2.03,1.0,False,39.269999999999996
649,LA,43,415,No,No,0,241.9,101.0,41.12,129.4,121.0,11.0,264.8,104.0,11.92,5.9,3,1.59,1.0,False,53.04
650,MA,42,408,No,No,0,241.2,134.0,41.0,116.5,114.0,9.9,152.2,91.0,6.85,10.6,4,2.86,0.0,False,47.85
651,IN,84,408,No,No,0,217.1,99.0,36.91,236.0,68.0,20.06,118.3,120.0,5.32,9.4,4,2.54,1.0,False,42.23
652,NY,65,510,No,No,0,195.4,110.0,33.22,181.2,109.0,15.4,178.5,105.0,8.03,8.9,4,2.4,0.0,False,41.25
653,TX,75,415,Yes,No,0,222.4,78.0,37.81,327.0,111.0,27.8,208.0,104.0,9.36,8.7,9,2.35,1.0,True,47.17
654,KS,116,510,No,No,0,189.5,90.0,32.22,189.8,118.0,16.13,205.8,83.0,9.26,13.1,2,3.54,1.0,False,41.48
655,WV,107,415,No,No,0,123.1,100.0,20.93,158.4,82.0,13.46,256.1,82.0,11.52,9.3,5,2.51,0.0,False,32.45
656,NE,189,415,No,Yes,38,256.7,98.0,43.64,150.5,120.0,12.79,123.0,87.0,5.54,11.4,3,3.08,3.0,False,49.18
657,ND,123,408,No,No,0,159.1,94.0,27.05,241.6,119.0,20.54,202.4,120.0,9.11,6.5,1,1.76,1.0,False,36.16
658,AK,110,408,No,No,0,100.1,90.0,17.02,233.3,93.0,19.83,204.4,57.0,9.2,11.1,8,3.0,3.0,False,26.22
659,CO,63,415,No,Yes,32,30.9,113.0,5.25,187.0,113.0,15.9,230.8,101.0,10.39,8.6,7,2.32,1.0,False,15.64
660,ME,176,415,No,No,0,223.2,76.0,37.94,214.4,131.0,18.22,154.4,80.0,6.95,10.1,2,2.73,3.0,False,44.89
661,SC,108,510,No,No,0,187.4,101.0,31.86,199.9,126.0,16.99,216.1,107.0,9.72,12.6,8,3.4,1.0,False,41.58
662,MN,13,510,No,Yes,21,315.6,105.0,53.65,208.9,71.0,17.76,260.1,123.0,11.7,12.1,3,3.27,3.0,False,65.35
663,CO,71,415,No,No,0,277.5,104.0,47.18,131.8,121.0,11.2,126.9,101.0,5.71,8.2,2,2.21,1.0,False,52.89
664,KS,88,415,No,No,0,189.8,111.0,32.27,197.3,101.0,16.77,234.5,111.0,10.55,14.9,3,4.02,2.0,False,42.82000000000001
665,MS,137,510,No,No,0,147.2,119.0,25.02,192.8,91.0,16.39,172.7,105.0,7.77,10.2,4,2.75,1.0,False,32.79
666,NE,82,408,No,No,0,185.8,36.0,31.59,276.5,134.0,23.5,192.1,104.0,8.64,5.7,7,1.54,4.0,False,40.230000000000004
667,NJ,92,510,No,Yes,29,155.4,110.0,26.42,188.5,104.0,16.02,254.9,118.0,11.47,8.0,4,2.16,3.0,False,37.89
668,WI,165,510,No,No,0,154.2,91.0,26.21,268.6,108.0,22.83,188.8,99.0,8.5,10.9,4,2.94,6.0,False,34.71
669,MT,96,415,No,No,0,97.6,98.0,16.59,105.5,118.0,8.97,220.2,105.0,9.91,11.6,9,3.13,1.0,False,26.5
670,AR,156,415,No,No,0,178.8,94.0,30.4,178.4,97.0,15.16,169.2,77.0,7.61,7.5,3,2.03,1.0,False,38.01
671,WA,63,408,No,No,0,149.3,104.0,25.38,273.6,75.0,23.26,206.6,72.0,9.3,9.1,4,2.46,0.0,False,34.68
672,NH,37,415,No,No,0,206.0,89.0,35.02,186.0,88.0,15.81,307.1,86.0,13.82,8.4,11,2.27,0.0,False,48.84
673,IA,98,415,No,No,0,216.8,86.0,36.86,190.8,114.0,16.22,187.5,79.0,8.44,11.0,9,2.97,0.0,False,45.3
674,WV,121,415,No,No,0,103.3,110.0,17.56,129.1,82.0,10.97,167.1,113.0,7.52,10.7,3,2.89,0.0,False,25.08
675,RI,94,415,No,No,0,139.4,95.0,23.7,159.1,92.0,13.52,128.2,129.0,5.77,7.7,3,2.08,0.0,False,29.47
676,KS,99,415,No,No,0,191.2,110.0,32.5,163.9,102.0,13.93,243.6,114.0,10.96,14.1,3,3.81,1.0,False,43.46
677,MT,163,510,No,Yes,23,160.0,104.0,27.2,189.4,64.0,16.1,229.9,118.0,10.35,10.4,7,2.81,1.0,False,37.55
678,MO,161,510,No,No,0,221.7,95.0,37.69,193.0,82.0,16.41,194.1,113.0,8.73,6.5,4,1.76,3.0,False,46.42
679,HI,99,415,No,No,0,62.9,81.0,10.69,231.0,64.0,19.64,168.9,121.0,7.6,8.5,5,2.3,1.0,False,18.29
680,CO,108,415,No,No,0,215.6,78.0,36.65,195.3,119.0,16.6,194.4,65.0,8.75,3.6,5,0.97,1.0,False,45.4
681,CT,84,510,No,Yes,42,165.3,97.0,28.1,223.5,118.0,19.0,260.8,72.0,11.74,7.6,7,2.05,3.0,False,39.84
682,ID,83,415,Yes,Yes,32,94.7,111.0,16.1,154.4,98.0,13.12,200.4,109.0,9.02,10.6,6,2.86,2.0,False,25.12
683,DC,139,510,No,No,0,203.2,81.0,34.54,152.5,99.0,12.96,197.8,76.0,8.9,9.7,3,2.62,2.0,False,43.44
684,TN,69,510,No,No,0,195.3,70.0,33.2,216.7,108.0,18.42,259.9,119.0,11.7,12.5,4,3.38,3.0,False,44.900000000000006
685,WY,129,510,No,No,0,143.7,114.0,24.43,297.8,98.0,25.31,212.6,86.0,9.57,11.4,8,3.08,4.0,False,34.0
686,MO,106,415,No,No,0,114.4,104.0,19.45,78.3,101.0,6.66,232.7,78.0,10.47,0.0,0,0.0,2.0,False,29.92
687,VA,158,415,No,No,0,222.8,101.0,37.88,203.0,128.0,17.26,210.6,106.0,9.48,6.9,2,1.86,2.0,False,47.36
688,SD,168,415,No,Yes,22,175.9,70.0,29.9,211.7,105.0,17.99,174.5,81.0,7.85,7.3,5,1.97,2.0,False,37.75
689,WV,115,510,Yes,No,0,249.9,95.0,42.48,242.5,104.0,20.61,151.7,121.0,6.83,15.3,6,4.13,1.0,True,49.309999999999995
690,GA,57,408,Yes,Yes,30,234.5,130.0,39.87,195.2,116.0,16.59,268.8,94.0,12.1,11.4,4,3.08,2.0,False,51.97
691,AZ,67,415,No,No,0,210.7,116.0,35.82,219.2,86.0,18.63,179.7,83.0,8.09,7.2,6,1.94,1.0,False,43.91
692,AK,127,408,No,No,0,182.3,124.0,30.99,169.9,110.0,14.44,184.0,116.0,8.28,9.3,3,2.51,1.0,False,39.269999999999996
693,AK,78,510,No,No,0,190.3,88.0,32.35,194.5,89.0,16.53,256.5,109.0,11.54,11.7,5,3.16,2.0,False,43.89
694,CT,100,415,No,Yes,38,177.1,88.0,30.11,163.7,108.0,13.91,242.7,72.0,10.92,7.4,2,2.0,0.0,False,41.03
695,UT,103,510,No,Yes,36,87.2,92.0,14.82,169.3,110.0,14.39,166.7,80.0,7.5,10.9,5,2.94,6.0,True,22.32
696,KY,113,415,No,No,0,215.6,96.0,36.65,193.4,127.0,16.44,105.4,115.0,4.74,13.5,3,3.65,1.0,False,41.39
697,MI,78,510,No,No,0,137.4,109.0,23.36,237.6,49.0,20.2,206.7,136.0,9.3,14.0,11,3.78,3.0,False,32.66
698,OR,129,510,No,Yes,36,192.8,103.0,32.78,177.0,83.0,15.05,216.5,118.0,9.74,16.4,5,4.43,1.0,False,42.52
699,TN,57,510,No,No,0,149.3,100.0,25.38,200.2,110.0,17.02,231.7,101.0,10.43,11.9,3,3.21,2.0,False,35.81
700,WV,82,408,No,No,0,143.7,116.0,24.43,170.7,99.0,14.51,287.7,95.0,12.95,7.8,5,2.11,1.0,False,37.379999999999995
701,NJ,64,415,No,No,0,224.8,111.0,38.22,190.0,101.0,16.15,221.4,110.0,9.96,9.2,2,2.48,1.0,False,48.18
702,MS,86,510,No,Yes,39,261.2,122.0,44.4,214.2,101.0,18.21,154.9,101.0,6.97,12.7,5,3.43,2.0,False,51.37
703,ME,151,415,No,Yes,26,196.5,98.0,33.41,175.8,111.0,14.94,221.8,124.0,9.98,13.4,5,3.62,0.0,False,43.39
704,WY,94,510,No,No,0,271.2,105.0,46.1,202.6,105.0,17.22,221.6,51.0,9.97,11.5,3,3.11,3.0,True,56.07
705,WY,90,415,No,No,0,207.2,121.0,35.22,292.5,104.0,24.86,226.3,103.0,10.18,8.0,1,2.16,2.0,False,45.4
706,IN,48,510,No,No,0,300.4,94.0,51.07,133.2,103.0,11.32,197.4,94.0,8.88,7.2,5,1.94,2.0,False,59.95
707,NM,85,408,No,Yes,37,229.6,123.0,39.03,132.3,90.0,11.25,211.9,76.0,9.54,9.5,8,2.57,2.0,False,48.57
708,NJ,93,415,Yes,Yes,20,187.5,110.0,31.88,169.8,94.0,14.43,175.3,127.0,7.89,12.1,4,3.27,1.0,False,39.769999999999996
709,DC,169,415,Yes,No,0,57.1,98.0,9.71,199.7,78.0,16.97,274.7,103.0,12.36,6.5,6,1.76,3.0,False,22.07
710,UT,68,415,No,No,0,162.1,86.0,27.56,155.0,86.0,13.18,189.7,87.0,8.54,11.0,9,2.97,5.0,True,36.099999999999994
711,KY,91,415,Yes,No,0,145.0,89.0,24.65,175.8,102.0,14.94,223.7,151.0,10.07,16.7,3,4.51,2.0,True,34.72
712,KS,68,510,No,No,0,159.5,123.0,27.12,240.8,93.0,20.47,210.3,76.0,9.46,11.4,3,3.08,1.0,False,36.58
713,MI,101,510,No,No,0,190.7,72.0,32.42,208.6,103.0,17.73,203.8,111.0,9.17,8.8,8,2.38,1.0,False,41.59
714,UT,67,510,No,Yes,20,230.6,40.0,39.2,189.1,58.0,16.07,162.2,115.0,7.3,9.4,2,2.54,1.0,False,46.5
715,NE,66,415,No,No,0,34.0,133.0,5.78,278.6,61.0,23.68,129.6,120.0,5.83,11.5,3,3.11,0.0,False,11.61
716,FL,116,415,No,Yes,17,193.4,112.0,32.88,240.6,131.0,20.45,248.1,98.0,11.16,11.4,3,3.08,5.0,False,44.040000000000006
717,LA,158,408,No,No,0,202.0,126.0,34.34,163.5,86.0,13.9,195.4,84.0,8.79,10.4,6,2.81,1.0,False,43.13
718,MT,78,415,No,No,0,191.7,122.0,32.59,241.4,88.0,20.52,203.5,86.0,9.16,9.1,5,2.46,1.0,False,41.75
719,WA,119,415,No,Yes,26,161.3,97.0,27.42,250.3,110.0,21.28,142.4,92.0,6.41,6.6,8,1.78,1.0,False,33.83
720,MI,120,415,No,No,0,150.6,85.0,25.6,119.0,128.0,10.12,232.9,123.0,10.48,6.4,2,1.73,1.0,False,36.08
721,KY,155,510,No,No,0,184.6,102.0,31.38,196.0,117.0,16.66,226.5,122.0,10.19,7.8,1,2.11,1.0,False,41.57
722,LA,106,408,No,No,0,220.7,120.0,37.52,270.2,95.0,22.97,121.6,113.0,5.47,8.7,5,2.35,1.0,False,42.99
723,NM,87,510,Yes,No,0,167.3,119.0,28.44,198.5,119.0,16.87,133.1,88.0,5.99,11.0,6,2.97,1.0,False,34.43
724,AL,146,415,No,Yes,32,154.0,80.0,26.18,185.5,91.0,15.77,148.2,107.0,6.67,8.2,4,2.21,3.0,False,32.85
725,MO,101,415,No,Yes,29,121.1,116.0,20.59,186.4,100.0,15.84,241.7,75.0,10.88,10.1,6,2.73,0.0,False,31.47
726,CO,22,510,No,Yes,23,182.1,94.0,30.96,164.6,59.0,13.99,128.8,102.0,5.8,12.7,4,3.43,3.0,False,36.76
727,TX,90,415,No,No,0,109.6,88.0,18.63,137.6,108.0,11.7,159.7,121.0,7.19,11.0,5,2.97,2.0,False,25.82
728,NY,41,415,No,No,0,209.9,105.0,35.68,121.9,105.0,10.36,253.7,104.0,11.42,9.6,4,2.59,1.0,False,47.1
729,OR,69,415,No,No,0,167.5,76.0,28.48,242.1,92.0,20.58,101.2,103.0,4.55,11.4,4,3.08,2.0,False,33.03
730,WY,33,415,No,No,0,213.9,88.0,36.36,239.8,119.0,20.38,148.7,71.0,6.69,9.8,14,2.65,2.0,False,43.05
731,UT,112,415,No,No,0,115.8,108.0,19.69,243.3,111.0,20.68,184.6,78.0,8.31,13.1,5,3.54,1.0,False,28.0
732,LA,108,510,No,Yes,30,276.6,99.0,47.02,220.1,113.0,18.71,177.9,95.0,8.01,9.8,6,2.65,2.0,False,55.03
733,NV,136,415,No,Yes,21,179.4,88.0,30.5,181.1,97.0,15.39,320.7,120.0,14.43,9.5,4,2.57,2.0,False,44.93
734,NC,128,510,No,No,0,187.3,84.0,31.84,270.8,95.0,23.02,206.4,68.0,9.29,10.1,5,2.73,1.0,False,41.129999999999995
735,NC,27,408,No,No,0,201.2,128.0,34.2,227.2,100.0,19.31,145.8,91.0,6.56,8.4,3,2.27,2.0,False,40.760000000000005
736,WY,161,415,Yes,No,0,189.6,78.0,32.23,267.4,117.0,22.73,184.5,137.0,8.3,1.3,6,0.35,1.0,False,40.53
737,TN,33,415,No,Yes,35,186.8,124.0,31.76,261.0,69.0,22.19,317.8,103.0,14.3,15.0,5,4.05,0.0,False,46.06
738,FL,120,415,No,Yes,31,153.5,83.0,26.1,219.1,96.0,18.62,237.4,76.0,10.68,11.4,4,3.08,0.0,False,36.78
739,CA,113,415,No,No,0,187.6,97.0,31.89,208.2,118.0,17.7,158.9,101.0,7.15,8.7,6,2.35,2.0,False,39.04
740,PA,122,415,Yes,No,0,230.9,132.0,39.25,243.2,99.0,20.67,182.4,57.0,8.21,11.0,2,2.97,0.0,True,47.46
741,WV,148,415,No,Yes,26,244.9,150.0,41.63,118.0,138.0,10.03,236.0,91.0,10.62,15.2,4,4.1,2.0,False,52.25
742,NJ,74,415,No,No,0,230.9,93.0,39.25,223.0,78.0,18.96,157.8,101.0,7.1,9.7,2,2.62,3.0,False,46.35
743,MT,106,415,No,No,0,187.1,104.0,31.81,250.2,117.0,21.27,144.9,81.0,6.52,11.0,3,2.97,1.0,False,38.33
744,MN,179,415,No,No,0,170.7,54.0,29.02,191.1,108.0,16.24,214.6,107.0,9.66,13.3,4,3.59,1.0,False,38.68
745,WI,149,415,Yes,Yes,28,126.9,97.0,21.57,166.9,102.0,14.19,145.2,77.0,6.53,8.8,3,2.38,5.0,True,28.1
746,ID,77,510,No,No,0,189.5,112.0,32.22,207.0,95.0,17.6,214.1,91.0,9.63,9.2,7,2.48,0.0,False,41.85
747,MA,127,408,Yes,No,0,176.9,110.0,30.07,167.9,100.0,14.27,182.2,138.0,8.2,7.7,2,2.08,1.0,True,38.269999999999996
748,OR,80,415,No,No,0,161.1,99.0,27.39,198.8,81.0,16.9,228.4,116.0,10.28,10.6,4,2.86,1.0,False,37.67
749,MT,106,510,No,No,0,169.4,107.0,28.8,197.2,71.0,16.76,202.2,79.0,9.1,10.7,4,2.89,1.0,False,37.9
750,AL,61,415,No,Yes,20,254.4,133.0,43.25,161.7,96.0,13.74,251.4,91.0,11.31,10.5,4,2.84,0.0,False,54.56
751,ND,135,510,Yes,Yes,24,127.7,54.0,21.71,215.0,105.0,18.28,234.3,84.0,10.54,5.8,4,1.57,2.0,False,32.25
752,LA,115,415,No,Yes,26,170.5,107.0,28.99,217.2,77.0,18.46,225.7,71.0,10.16,13.6,5,3.67,6.0,False,39.15
753,ND,167,408,Yes,No,0,219.1,100.0,37.25,242.9,90.0,20.65,168.9,101.0,7.6,10.1,4,2.73,2.0,False,44.85
754,MS,107,510,Yes,No,0,273.5,104.0,46.5,183.8,68.0,15.62,153.8,67.0,6.92,11.0,9,2.97,2.0,False,53.42
755,WV,112,415,Yes,No,0,161.9,138.0,27.52,200.9,114.0,17.08,134.0,134.0,6.03,10.7,4,2.89,1.0,False,33.55
756,WI,35,510,No,Yes,27,241.7,87.0,41.09,142.0,101.0,12.07,288.9,68.0,13.0,9.4,4,2.54,1.0,False,54.09
757,KS,103,408,Yes,No,0,62.8,124.0,10.68,170.4,66.0,14.48,280.2,78.0,12.61,9.4,4,2.54,3.0,False,23.29
758,MO,107,415,No,Yes,22,281.1,83.0,47.79,143.7,130.0,12.21,239.4,128.0,10.77,11.2,9,3.02,1.0,False,58.56
759,PA,69,415,No,No,0,228.2,70.0,38.79,263.7,80.0,22.41,142.6,60.0,6.42,10.7,5,2.89,3.0,False,45.21
760,SD,85,408,No,No,0,209.8,82.0,35.67,194.5,94.0,16.53,200.4,85.0,9.02,11.3,3,3.05,0.0,False,44.69
761,NJ,24,408,No,No,0,265.6,86.0,45.15,208.8,102.0,17.75,182.5,105.0,8.21,11.1,6,3.0,2.0,True,53.36
762,AL,90,415,No,No,0,214.9,97.0,36.53,117.8,117.0,10.01,133.7,78.0,6.02,11.8,2,3.19,2.0,False,42.55
763,ME,137,510,No,No,0,110.5,79.0,18.79,223.2,111.0,18.97,169.5,64.0,7.63,10.5,3,2.84,3.0,False,26.419999999999998
764,AZ,92,415,Yes,Yes,45,281.1,88.0,47.79,198.0,103.0,16.83,94.3,76.0,4.24,7.5,3,2.03,0.0,False,52.03
765,VT,38,415,No,No,0,137.8,86.0,23.43,286.3,76.0,24.34,167.0,77.0,7.52,14.1,3,3.81,2.0,False,30.95
766,NV,69,510,Yes,Yes,33,271.5,98.0,46.16,253.4,102.0,21.54,165.4,85.0,7.44,8.2,2,2.21,1.0,True,53.599999999999994
767,WI,45,408,No,No,0,112.8,108.0,19.18,218.8,120.0,18.6,240.2,106.0,10.81,9.0,3,2.43,2.0,False,29.990000000000002
768,HI,73,408,No,No,0,187.3,118.0,31.84,239.7,90.0,20.37,167.5,108.0,7.54,15.1,2,4.08,1.0,False,39.38
769,DE,92,415,No,No,0,197.0,84.0,33.49,269.3,105.0,22.89,158.9,105.0,7.15,10.8,4,2.92,1.0,False,40.64
770,AZ,113,415,No,Yes,32,180.4,89.0,30.67,129.4,124.0,11.0,166.9,124.0,7.51,8.4,2,2.27,1.0,False,38.18
771,VA,68,408,Yes,No,0,148.5,126.0,25.25,219.4,125.0,18.65,198.5,121.0,8.93,14.5,7,3.92,1.0,True,34.18
772,GA,135,415,No,Yes,22,197.1,113.0,33.51,259.4,95.0,22.05,134.7,135.0,6.06,14.6,5,3.94,2.0,False,39.57
773,AZ,100,415,No,Yes,26,153.7,115.0,26.13,137.8,146.0,11.71,213.5,104.0,9.61,15.9,5,4.29,1.0,False,35.739999999999995
774,MN,96,415,No,Yes,27,261.3,96.0,44.42,220.9,101.0,18.78,179.4,97.0,8.07,11.3,2,3.05,1.0,False,52.49
775,ME,108,510,No,No,0,246.2,102.0,41.85,202.4,134.0,17.2,180.1,95.0,8.1,9.4,5,2.54,1.0,False,49.95
776,FL,84,510,No,No,0,191.0,88.0,32.47,318.8,119.0,27.1,247.3,79.0,11.13,6.5,4,1.76,0.0,False,43.6
777,WA,134,408,No,No,0,208.3,86.0,35.41,253.6,89.0,21.56,291.0,86.0,13.1,12.6,3,3.4,1.0,False,48.51
778,MT,72,415,No,No,0,253.0,73.0,43.01,219.3,78.0,18.64,210.8,89.0,9.49,9.8,4,2.65,0.0,False,52.5
779,AL,83,408,No,No,0,202.3,87.0,34.39,201.5,111.0,17.13,101.7,82.0,4.58,6.8,4,1.84,0.0,False,38.97
780,WV,137,408,No,No,0,174.4,120.0,29.65,156.3,98.0,13.29,136.5,121.0,6.14,10.2,5,2.75,0.0,False,35.79
781,GA,56,415,No,Yes,30,127.1,89.0,21.61,172.1,116.0,14.63,194.6,111.0,8.76,12.1,3,3.27,1.0,False,30.369999999999997
782,OH,61,510,Yes,Yes,16,143.5,76.0,24.4,242.6,58.0,20.62,147.7,95.0,6.65,11.3,3,3.05,0.0,False,31.049999999999997
783,DE,171,510,No,Yes,17,186.9,94.0,31.77,240.0,138.0,20.4,200.9,64.0,9.04,5.8,3,1.57,1.0,False,40.81
784,NE,123,510,No,No,0,194.0,118.0,32.98,242.0,114.0,20.57,146.3,108.0,6.58,12.1,4,3.27,1.0,False,39.559999999999995
785,FL,58,510,No,No,0,234.8,89.0,39.92,106.8,131.0,9.08,178.5,122.0,8.03,9.9,6,2.67,0.0,False,47.95
786,AK,156,510,No,No,0,123.7,96.0,21.03,103.0,80.0,8.76,189.4,82.0,8.52,13.1,4,3.54,1.0,False,29.55
787,WI,166,510,No,No,0,173.9,103.0,29.56,276.4,83.0,23.49,190.8,113.0,8.59,15.3,5,4.13,0.0,False,38.15
788,WA,75,510,No,Yes,41,130.9,115.0,22.25,203.4,110.0,17.29,171.7,68.0,7.73,12.4,4,3.35,1.0,False,29.98
789,KY,75,415,No,No,0,314.6,102.0,53.48,169.8,86.0,14.43,285.1,100.0,12.83,5.7,3,1.54,2.0,True,66.31
790,OH,83,510,No,No,0,227.9,78.0,38.74,207.5,115.0,17.64,211.7,100.0,9.53,12.1,5,3.27,1.0,False,48.27
791,UT,243,510,No,No,0,95.5,92.0,16.24,163.7,63.0,13.91,264.2,118.0,11.89,6.6,6,1.78,2.0,False,28.13
792,NM,153,408,No,No,0,185.3,127.0,31.5,208.0,73.0,17.68,206.1,124.0,9.27,15.1,3,4.08,1.0,False,40.769999999999996
793,MN,150,415,No,No,0,146.3,133.0,24.87,202.7,95.0,17.23,234.7,103.0,10.56,13.1,3,3.54,1.0,False,35.43
794,WV,92,510,No,Yes,16,184.0,99.0,31.28,76.4,134.0,6.49,185.1,96.0,8.33,12.7,3,3.43,2.0,False,39.61
795,MN,80,415,No,No,0,105.8,110.0,17.99,43.9,88.0,3.73,189.6,87.0,8.53,13.1,5,3.54,0.0,False,26.519999999999996
796,AL,134,415,No,No,0,178.0,110.0,30.26,153.8,64.0,13.07,236.6,105.0,10.65,11.7,4,3.16,1.0,False,40.910000000000004
797,PA,77,510,No,Yes,24,149.4,74.0,25.4,123.9,72.0,10.53,174.3,84.0,7.84,10.1,6,2.73,1.0,False,33.239999999999995
798,DE,147,510,No,No,0,209.4,104.0,35.6,132.5,78.0,11.26,149.4,123.0,6.72,11.3,3,3.05,2.0,False,42.32
799,MO,74,415,No,No,0,172.1,105.0,29.26,211.7,99.0,17.99,182.2,105.0,8.2,11.6,6,3.13,1.0,False,37.46
800,IL,138,510,Yes,No,0,169.3,82.0,28.78,217.9,147.0,18.52,184.2,77.0,8.29,9.4,9,2.54,1.0,False,37.07
801,FL,143,415,No,No,0,119.1,117.0,20.25,287.7,136.0,24.45,223.0,100.0,10.04,12.2,4,3.29,0.0,False,30.29
802,HI,64,415,No,No,0,194.2,147.0,33.01,173.4,87.0,14.74,268.7,114.0,12.09,5.5,2,1.49,2.0,False,45.099999999999994
803,ME,120,510,No,No,0,198.8,56.0,33.8,230.1,73.0,19.56,119.8,81.0,5.39,9.9,3,2.67,2.0,False,39.19
804,CO,121,408,Yes,No,0,167.7,94.0,28.51,93.7,121.0,7.96,241.3,115.0,10.86,13.4,1,3.62,3.0,True,39.370000000000005
